               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.040187,            0.012239,           0.0078712,             0.74741,                 0.9,             0.93578,             0.66273,            0.021971,           0.0055181,           0.0053809,           0.0080002,           0.0080002,           0.0080002
                 103,            0.046908,             0.01042,           0.0092678,             0.83789,             0.89774,             0.98129,             0.42394,            0.024356,           0.0055166,           0.0054677,           0.0079804,           0.0079804,           0.0079804
                 104,            0.042739,           0.0099074,             0.01121,             0.83789,             0.89774,             0.98129,             0.42394,            0.024356,           0.0055166,           0.0054677,           0.0079606,           0.0079606,           0.0079606
                 105,            0.040129,            0.010119,            0.014067,             0.79295,             0.86549,             0.96732,             0.43869,            0.024497,           0.0053955,           0.0062685,           0.0079408,           0.0079408,           0.0079408
                 106,            0.040042,           0.0092411,           0.0090592,             0.83259,               0.925,             0.96006,               0.727,            0.018521,           0.0051439,           0.0070062,            0.007921,            0.007921,            0.007921
                 107,            0.040234,            0.010091,           0.0083794,             0.71321,                0.85,             0.91179,             0.52602,            0.025244,           0.0052055,           0.0061648,           0.0079012,           0.0079012,           0.0079012
                 108,            0.041708,            0.010066,            0.012664,             0.71321,                0.85,             0.91179,             0.52602,            0.025244,           0.0052055,           0.0061648,           0.0078814,           0.0078814,           0.0078814
                 109,            0.039334,            0.011395,            0.011408,             0.91738,             0.85696,             0.98256,             0.71165,            0.021122,           0.0049829,           0.0064226,           0.0078616,           0.0078616,           0.0078616
                 110,            0.039119,            0.011021,           0.0089389,             0.88603,             0.97482,             0.98222,             0.64153,            0.021965,           0.0049381,           0.0037779,           0.0078418,           0.0078418,           0.0078418
                 111,             0.04319,            0.010528,           0.0085296,             0.98487,                   1,               0.995,             0.51636,            0.022067,           0.0048377,            0.003651,            0.007822,            0.007822,            0.007822
                 112,            0.038139,           0.0098372,            0.014941,             0.98487,                   1,               0.995,             0.51636,            0.022067,           0.0048377,            0.003651,           0.0078022,           0.0078022,           0.0078022
                 113,            0.035665,           0.0092107,             0.01211,             0.99303,                   1,               0.995,             0.64457,             0.01783,            0.004646,           0.0035392,           0.0077824,           0.0077824,           0.0077824
                 114,            0.035909,           0.0089351,           0.0075338,             0.74848,               0.975,             0.96374,               0.437,            0.027032,           0.0053095,           0.0036737,           0.0077626,           0.0077626,           0.0077626
                 115,            0.042055,           0.0092007,            0.010008,             0.95684,                   1,               0.995,             0.70222,            0.018312,            0.004785,           0.0037503,           0.0077428,           0.0077428,           0.0077428
                 116,            0.029694,           0.0093593,           0.0084178,             0.95684,                   1,               0.995,             0.70222,            0.018312,            0.004785,           0.0037503,            0.007723,            0.007723,            0.007723
                 117,            0.029703,             0.01144,           0.0073131,             0.99337,                   1,               0.995,             0.72093,            0.014851,           0.0047083,           0.0037244,           0.0077032,           0.0077032,           0.0077032
                 118,            0.029931,           0.0091866,            0.011683,              0.9308,                   1,               0.995,             0.67647,            0.019725,           0.0047437,           0.0036134,           0.0076834,           0.0076834,           0.0076834
                 119,             0.03189,            0.010991,            0.014393,             0.75326,             0.98766,             0.89539,             0.52078,            0.023453,             0.00491,            0.003478,           0.0076636,           0.0076636,           0.0076636
                 120,            0.039556,            0.011169,           0.0074665,             0.75326,             0.98766,             0.89539,             0.52078,            0.023453,             0.00491,            0.003478,           0.0076438,           0.0076438,           0.0076438
                 121,            0.035019,           0.0089938,            0.010428,             0.79125,                   1,             0.91607,             0.62103,            0.021412,           0.0048028,           0.0034379,            0.007624,            0.007624,            0.007624
                 122,            0.032779,           0.0094464,           0.0094413,             0.73681,                   1,             0.93726,             0.65506,            0.022914,           0.0047798,           0.0033839,           0.0076042,           0.0076042,           0.0076042
                 123,            0.033775,           0.0097456,           0.0055878,             0.91169,                   1,               0.995,             0.65496,             0.01949,           0.0046696,           0.0033698,           0.0075844,           0.0075844,           0.0075844
                 124,            0.036946,           0.0080382,            0.006873,             0.91169,                   1,               0.995,             0.65496,             0.01949,           0.0046696,           0.0033698,           0.0075646,           0.0075646,           0.0075646
                 125,            0.036892,           0.0097476,           0.0076769,             0.99599,                   1,               0.995,             0.66722,            0.018217,           0.0045844,           0.0033576,           0.0075448,           0.0075448,           0.0075448
                 126,            0.036356,            0.010323,           0.0081256,             0.97118,                   1,             0.98905,             0.59611,            0.018069,           0.0046096,           0.0032664,            0.007525,            0.007525,            0.007525
                 127,            0.041123,           0.0091803,           0.0070006,             0.96788,                   1,               0.995,             0.52057,            0.025391,            0.004829,            0.003203,           0.0075052,           0.0075052,           0.0075052
                 128,            0.043062,           0.0088367,            0.013258,             0.96788,                   1,               0.995,             0.52057,            0.025391,            0.004829,            0.003203,           0.0074854,           0.0074854,           0.0074854
                 129,            0.036705,           0.0092456,            0.009388,             0.88215,                   1,              0.9832,             0.71777,            0.017826,            0.004554,           0.0031888,           0.0074656,           0.0074656,           0.0074656
                 130,            0.035296,           0.0082589,           0.0069101,             0.96046,                   1,               0.995,             0.76946,            0.017908,           0.0045101,           0.0030887,           0.0074458,           0.0074458,           0.0074458
                 131,            0.035725,           0.0087822,           0.0070382,             0.76139,                   1,             0.86052,             0.50651,            0.022772,           0.0048608,           0.0029434,            0.007426,            0.007426,            0.007426
                 132,            0.038608,           0.0095361,           0.0076523,             0.76139,                   1,             0.86052,             0.50651,            0.022772,           0.0048608,           0.0029434,           0.0074062,           0.0074062,           0.0074062
                 133,            0.036508,           0.0096434,           0.0083179,             0.84746,                   1,             0.93654,             0.67147,            0.017092,           0.0046761,           0.0029302,           0.0073864,           0.0073864,           0.0073864
                 134,            0.033542,            0.011743,           0.0055697,             0.98095,                   1,               0.995,             0.72306,            0.019684,           0.0046254,           0.0029286,           0.0073666,           0.0073666,           0.0073666
                 135,            0.032865,           0.0079909,           0.0066861,             0.99203,                   1,               0.995,             0.64389,            0.017404,           0.0045329,           0.0029178,           0.0073468,           0.0073468,           0.0073468
